sensor,x,y,z,t_ms
gyr,-5,63,4,425.64
acc,-0.035,-0.031,0.8789,426.59
acc,-0.007,-0.039,0.875,427.52
acc,-0.007,-0.039,0.875,428.45
acc,-0.039,-0.031,0.8984,429.36
acc,-0.035,0.0156,0.8828,430.27
comp,359.72,-34.96,644.0,433.91
acc,-0.039,-0.035,0.8789,434.85
acc,-0.039,-0.035,0.8789,435.77
acc,-0.023,0.0195,0.8867,436.68
acc,0.0117,-0.019,0.8359,437.59
gyr,-5,65,2,439.29
acc,-0.039,-0.023,0.8789,440.22
acc,0.0156,-0.042,0.9023,441.14
acc,0.0156,-0.042,0.9023,442.10
acc,-0.039,-0.015,0.8710,443.05
gyr,-5,63,1,445.10
acc,-0.027,-0.031,0.8710,446.04
acc,-0.035,-0.054,0.9179,447.03
acc,-0.035,-0.054,0.9179,447.95
acc,-0.062,-0.031,0.8789,448.86
acc,0.0117,-0.011,0.8828,449.77
comp,357.88,-34.04,641.24,453.16
acc,-0.027,-0.042,0.8828,454.09
acc,-0.027,-0.042,0.8398,455.01
acc,-0.019,-0.011,0.8085,455.92
acc,-0.042,-0.015,0.8789,456.84
gyr,-8,64,4,460.78
acc,-0.031,-0.039,0.8906,462.55
acc,-0.027,-0.042,0.8984,463.53
acc,-0.027,-0.027,0.9140,464.46
acc,-0.046,-0.027,0.8984,465.37
gyr,-7,65,1,467.24
acc,-0.035,-0.031,0.8828,468.18
acc,0.0,-0.035,0.8789,469.09
acc,-0.054,-0.039,0.9335,470.00
acc,-0.054,-0.039,0.9335,470.91
acc,-0.046,-0.031,0.9179,471.93
comp,357.88,-34.04,641.24,475.21
acc,-0.035,-0.035,0.9023,476.13
acc,-0.035,-0.035,0.9023,477.15
acc,-0.023,-0.015,0.9218,478.07
acc,-0.039,-0.027,0.8906,478.98
gyr,-8,63,6,480.56
acc,-0.042,-0.035,0.8984,481.47
acc,-0.035,-0.007,0.8906,482.49
acc,-0.015,0.0078,0.8906,483.42
acc,-0.015,0.0078,0.8906,484.33
gyr,-4,65,9,485.90
acc,-0.039,-0.023,0.8906,486.82
acc,-0.031,-0.054,0.8710,487.84
acc,-0.019,0.0,0.8710,488.76
acc,-0.027,-0.042,0.8476,489.68
acc,-0.027,-0.042,0.8476,490.59
comp,357.88,-34.04,641.24,494.84
acc,-0.027,-0.031,0.8789,495.78
acc,-0.011,-0.042,0.875,496.74
acc,-0.011,-0.042,0.875,497.66
acc,-0.031,-0.035,0.9218,498.58
gyr,-8,64,7,500.29
acc,-0.019,-0.031,0.8828,501.22
acc,-0.058,0.0195,0.7968,502.14
acc,-0.066,-0.054,0.9257,503.04
acc,-0.066,-0.054,0.9257,503.95
gyr,-4,66,4,505.73
acc,-0.031,-0.039,0.8789,506.68
acc,-0.042,-0.042,0.9335,507.60
acc,-0.042,-0.042,0.9335,508.51
acc,-0.023,-0.058,0.8671,509.42
acc,-0.027,-0.039,0.8906,510.33
comp,357.88,-34.04,641.24,513.71
acc,-0.035,-0.031,0.8906,514.63
acc,-0.007,-0.019,0.8789,515.56
acc,-0.031,-0.015,0.875,516.47
acc,-0.031,-0.027,0.8593,517.38
gyr,-8,64,5,519.80
acc,-0.035,-0.019,0.8906,520.74
acc,-0.035,-0.035,0.9765,521.66
acc,-0.027,0.0468,0.9023,522.58
acc,0.0117,-0.070,0.8906,523.49
gyr,-4,65,4,525.19
acc,-0.031,-0.023,0.8671,526.17
acc,-0.042,0.0195,0.8789,527.08
acc,-0.042,0.0195,0.8789,528.00
acc,-0.023,-0.019,0.8867,528.91
acc,-0.042,-0.023,0.8906,529.82
comp,357.88,-34.04,641.24,533.59
acc,-0.039,-0.035,0.875,534.53
acc,-0.039,-0.035,0.875,535.45
acc,0.0078,-0.039,0.8359,536.37
acc,-0.031,-0.007,0.9257,537.28
gyr,-9,66,3,538.96
acc,-0.027,-0.031,0.8828,539.99
acc,0.0507,-0.039,0.8515,540.93
acc,-0.007,-0.023,0.8828,541.83
acc,-0.007,-0.023,0.8828,542.74
gyr,-10,64,5,544.87
acc,-0.035,-0.039,0.9023,545.85
acc,-0.085,-0.031,0.9140,546.78
acc,-0.062,-0.039,0.8671,547.70
acc,-0.062,-0.039,0.8671,548.62
acc,-0.050,-0.015,0.8515,549.53
comp,357.88,-34.04,641.24,552.92
acc,-0.035,-0.007,0.8671,553.84
acc,-0.035,-0.007,0.8671,554.75
acc,-0.042,-0.015,0.8515,555.66
